,Disease,Disease_Labels
0,Fungal_infection,15
1,Fungal_infection,15
2,Fungal_infection,15
3,Fungal_infection,15
4,Fungal_infection,15
5,Fungal_infection,15
6,Fungal_infection,15
7,Fungal_infection,15
8,Fungal_infection,15
9,Fungal_infection,15
10,Allergy,4
11,Allergy,4
12,Allergy,4
13,Allergy,4
14,Allergy,4
15,Allergy,4
16,Allergy,4
17,Allergy,4
18,Allergy,4
19,Allergy,4
20,GERD,16
21,GERD,16
22,GERD,16
23,GERD,16
24,GERD,16
25,GERD,16
26,GERD,16
27,GERD,16
28,GERD,16
29,GERD,16
30,Chronic_cholestasis,9
31,Chronic_cholestasis,9
32,Chronic_cholestasis,9
33,Chronic_cholestasis,9
34,Chronic_cholestasis,9
35,Chronic_cholestasis,9
36,Chronic_cholestasis,9
37,Chronic_cholestasis,9
38,Chronic_cholestasis,9
39,Chronic_cholestasis,9
40,Drug_Reaction,14
41,Drug_Reaction,14
42,Drug_Reaction,14
43,Drug_Reaction,14
44,Drug_Reaction,14
45,Drug_Reaction,14
46,Drug_Reaction,14
47,Drug_Reaction,14
48,Drug_Reaction,14
49,Drug_Reaction,14
50,Peptic_ulcer_diseae,33
51,Peptic_ulcer_diseae,33
52,Peptic_ulcer_diseae,33
53,Peptic_ulcer_diseae,33
54,Peptic_ulcer_diseae,33
55,Peptic_ulcer_diseae,33
56,Peptic_ulcer_diseae,33
57,Peptic_ulcer_diseae,33
58,Peptic_ulcer_diseae,33
59,Peptic_ulcer_diseae,33
60,AIDS,1
61,AIDS,1
62,AIDS,1
63,AIDS,1
64,AIDS,1
65,AIDS,1
66,AIDS,1
67,AIDS,1
68,AIDS,1
69,AIDS,1
70,Diabetes,12
71,Diabetes,12
72,Diabetes,12
73,Diabetes,12
74,Diabetes,12
75,Diabetes,12
76,Diabetes,12
77,Diabetes,12
78,Diabetes,12
79,Diabetes,12
80,Gastroenteritis,17
81,Gastroenteritis,17
82,Gastroenteritis,17
83,Gastroenteritis,17
84,Gastroenteritis,17
85,Gastroenteritis,17
86,Gastroenteritis,17
87,Gastroenteritis,17
88,Gastroenteritis,17
89,Gastroenteritis,17
90,Bronchial_Asthma,6
91,Bronchial_Asthma,6
92,Bronchial_Asthma,6
93,Bronchial_Asthma,6
94,Bronchial_Asthma,6
95,Bronchial_Asthma,6
96,Bronchial_Asthma,6
97,Bronchial_Asthma,6
98,Bronchial_Asthma,6
99,Bronchial_Asthma,6
100,Hypertension,23
101,Hypertension,23
102,Hypertension,23
103,Hypertension,23
104,Hypertension,23
105,Hypertension,23
106,Hypertension,23
107,Hypertension,23
108,Hypertension,23
109,Hypertension,23
110,Migraine,30
111,Migraine,30
112,Migraine,30
113,Migraine,30
114,Migraine,30
115,Migraine,30
116,Migraine,30
117,Migraine,30
118,Migraine,30
119,Migraine,30
120,Cervical_spondylosis,7
121,Cervical_spondylosis,7
122,Cervical_spondylosis,7
123,Cervical_spondylosis,7
124,Cervical_spondylosis,7
125,Cervical_spondylosis,7
126,Cervical_spondylosis,7
127,Cervical_spondylosis,7
128,Cervical_spondylosis,7
129,Cervical_spondylosis,7
130,Paralysis_(brain_hemorrhage),32
131,Paralysis_(brain_hemorrhage),32
132,Paralysis_(brain_hemorrhage),32
133,Paralysis_(brain_hemorrhage),32
134,Paralysis_(brain_hemorrhage),32
135,Paralysis_(brain_hemorrhage),32
136,Paralysis_(brain_hemorrhage),32
137,Paralysis_(brain_hemorrhage),32
138,Paralysis_(brain_hemorrhage),32
139,Paralysis_(brain_hemorrhage),32
140,Jaundice,28
141,Jaundice,28
142,Jaundice,28
143,Jaundice,28
144,Jaundice,28
145,Jaundice,28
146,Jaundice,28
147,Jaundice,28
148,Jaundice,28
149,Jaundice,28
150,Malaria,29
151,Malaria,29
152,Malaria,29
153,Malaria,29
154,Malaria,29
155,Malaria,29
156,Malaria,29
157,Malaria,29
158,Malaria,29
159,Malaria,29
160,Chicken_pox,8
161,Chicken_pox,8
162,Chicken_pox,8
163,Chicken_pox,8
164,Chicken_pox,8
165,Chicken_pox,8
166,Chicken_pox,8
167,Chicken_pox,8
168,Chicken_pox,8
169,Chicken_pox,8
170,Dengue,11
171,Dengue,11
172,Dengue,11
173,Dengue,11
174,Dengue,11
175,Dengue,11
176,Dengue,11
177,Dengue,11
178,Dengue,11
179,Dengue,11
180,Typhoid,37
181,Typhoid,37
182,Typhoid,37
183,Typhoid,37
184,Typhoid,37
185,Typhoid,37
186,Typhoid,37
187,Typhoid,37
188,Typhoid,37
189,Typhoid,37
190,hepatitis_A,40
191,hepatitis_A,40
192,hepatitis_A,40
193,hepatitis_A,40
194,hepatitis_A,40
195,hepatitis_A,40
196,hepatitis_A,40
197,hepatitis_A,40
198,hepatitis_A,40
199,hepatitis_A,40
200,Hepatitis_B,19
201,Hepatitis_B,19
202,Hepatitis_B,19
203,Hepatitis_B,19
204,Hepatitis_B,19
205,Hepatitis_B,19
206,Hepatitis_B,19
207,Hepatitis_B,19
208,Hepatitis_B,19
209,Hepatitis_B,19
210,Hepatitis_C,20
211,Hepatitis_C,20
212,Hepatitis_C,20
213,Hepatitis_C,20
214,Hepatitis_C,20
215,Hepatitis_C,20
216,Hepatitis_C,20
217,Hepatitis_C,20
218,Hepatitis_C,20
219,Hepatitis_C,20
220,Hepatitis_D,21
221,Hepatitis_D,21
222,Hepatitis_D,21
223,Hepatitis_D,21
224,Hepatitis_D,21
225,Hepatitis_D,21
226,Hepatitis_D,21
227,Hepatitis_D,21
228,Hepatitis_D,21
229,Hepatitis_D,21
230,Hepatitis_E,22
231,Hepatitis_E,22
232,Hepatitis_E,22
233,Hepatitis_E,22
234,Hepatitis_E,22
235,Hepatitis_E,22
236,Hepatitis_E,22
237,Hepatitis_E,22
238,Hepatitis_E,22
239,Hepatitis_E,22
240,Alcoholic_hepatitis,3
241,Alcoholic_hepatitis,3
242,Alcoholic_hepatitis,3
243,Alcoholic_hepatitis,3
244,Alcoholic_hepatitis,3
245,Alcoholic_hepatitis,3
246,Alcoholic_hepatitis,3
247,Alcoholic_hepatitis,3
248,Alcoholic_hepatitis,3
249,Alcoholic_hepatitis,3
250,Tuberculosis,36
251,Tuberculosis,36
252,Tuberculosis,36
253,Tuberculosis,36
254,Tuberculosis,36
255,Tuberculosis,36
256,Tuberculosis,36
257,Tuberculosis,36
258,Tuberculosis,36
259,Tuberculosis,36
260,Common_Cold,10
261,Common_Cold,10
262,Common_Cold,10
263,Common_Cold,10
264,Common_Cold,10
265,Common_Cold,10
266,Common_Cold,10
267,Common_Cold,10
268,Common_Cold,10
269,Common_Cold,10
270,Pneumonia,34
271,Pneumonia,34
272,Pneumonia,34
273,Pneumonia,34
274,Pneumonia,34
275,Pneumonia,34
276,Pneumonia,34
277,Pneumonia,34
278,Pneumonia,34
279,Pneumonia,34
280,Dimorphic_hemmorhoids(piles),13
281,Dimorphic_hemmorhoids(piles),13
282,Dimorphic_hemmorhoids(piles),13
283,Dimorphic_hemmorhoids(piles),13
284,Dimorphic_hemmorhoids(piles),13
285,Dimorphic_hemmorhoids(piles),13
286,Dimorphic_hemmorhoids(piles),13
287,Dimorphic_hemmorhoids(piles),13
288,Dimorphic_hemmorhoids(piles),13
289,Dimorphic_hemmorhoids(piles),13
290,Heart_attack,18
291,Heart_attack,18
292,Heart_attack,18
293,Heart_attack,18
294,Heart_attack,18
295,Heart_attack,18
296,Heart_attack,18
297,Heart_attack,18
298,Heart_attack,18
299,Heart_attack,18
300,Varicose_veins,39
301,Varicose_veins,39
302,Varicose_veins,39
303,Varicose_veins,39
304,Varicose_veins,39
305,Varicose_veins,39
306,Varicose_veins,39
307,Varicose_veins,39
308,Varicose_veins,39
309,Varicose_veins,39
310,Hypothyroidism,26
311,Hypothyroidism,26
312,Hypothyroidism,26
313,Hypothyroidism,26
314,Hypothyroidism,26
315,Hypothyroidism,26
316,Hypothyroidism,26
317,Hypothyroidism,26
318,Hypothyroidism,26
319,Hypothyroidism,26
320,Hyperthyroidism,24
321,Hyperthyroidism,24
322,Hyperthyroidism,24
